stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
5080,,YT,h29.24-231121-0124,2023-11-22,2023-02-21,,đia điem kinh doanh cong ty co phan dich vu đien tu viet,le thi hong yen,30-32 yersin,nguyen thai binh,1,,kinh doanh dich vu an uong,5080,2023-11-30,,,,,,đia điem kinh doanh cong ty co phan dich vu đien tu viet,30-32 yersin,1,nguyen thai binh
5081,,YT,h29.24-231127-0142,2023-11-27,2023-12-25,,cong ty tnhh nha hang my gia my,nguyen quang binh,82 ter vo thi sau,tan đinh,1,,kinh doanh dich vu an uong,5081,2023-11-30,,,,,,cong ty tnhh nha hang my gia my,82 ter vo thi sau,1,tan đinh
5082,,NN,h29.24-231115-0161,2023-11-22,2023-12-08,,chi nhanh - cong ty tnhh thuong mai dich vu khang my,,135 đuong 26,10,6,0311956020-002,"so che, đong goi, kinh doanh: rau, cu, qua",5082,2023-12-04,,,,,,chi nhanh - cong ty tnhh thuong mai dich vu khang my,135 đuong 26,6,10
5083,,NN,h29.24-231120-0318,2023-11-22,2023-12-08,,ho kinh doanh con rong,,365/36/80 hau giang,11,6,41F8024925,che bien da heo phong,5083,2023-12-04,,,,,,ho kinh doanh con rong,365/36/80 hau giang,6,11
5084,,NN,h29.24-231121-0225,2023-11-23,2023-12-11,,chi nhanh cong ty tnhh nha yen viet,,331/70/26 phan huy ich,14,go vap,0312085369-001,"so che, đong goi to yen",5084,2023-12-04,,,,,,chi nhanh cong ty tnhh nha yen viet,331/70/26 phan huy ich,go vap,14
5085,,NN,h29.24-231120-0313,2023-11-24,2023-12-12,,ho kinh doanh kim long - con ga,,405/36/54 hau giang,11,6,41F8022989,che bien da heo phong,5085,2023-12-04,,,,,,ho kinh doanh kim long - con ga,405/36/54 hau giang,6,11
5086,,CT,h29.24-231120-0147,2023-11-22,2023-12-20,,cong ty tnhh thuong mai san xuat my huong,,"lo k31 đuong so 7, khu tai đinh cu tan tao",tan kien,binh chanh,,"chiet rot, đong goi dau an",5086,2023-12-04,,,,,,cong ty tnhh thuong mai san xuat my huong,"lo k31 đuong so 7, khu tai đinh cu tan tao",binh chanh,tan kien
5087,,NN,h29.24-231121-0111,2023-11-21,2023-12-12,,cong ty tnhh the foodie hub,,"a2/15 đuong so 1, ap 2",binh hung,binh chanh,0317840914,"che bien: nuoc sot, kho ga",5087,2023-12-04,,,,,,cong ty tnhh the foodie hub,"a2/15 đuong so 1, ap 2",binh chanh,binh hung
5088,,YT,h29.24-231119-0075,2023-11-24,2023-12-22,,chi nhanh 87a cuu long - cong ty co phan am thuc thien ly,as na wi,87a cuu long,15,10,,kinh doanh dich vu an uong,5088,2023-12-04,,,,,,chi nhanh 87a cuu long - cong ty co phan am thuc thien ly,87a cuu long,10,15
5089,,YT,h29.24-231118-0111,2023-11-23,2023-12-21,,đia điem kinh doanh so 05 - cong ty tnhh giai tri lang xi trum,lam vi nghia,"o so 3f-14, tang 03, trung tam thuong mai hung vuong plaza so 126 hong bang",12,5,,kinh doanh dich vu an uong,5089,2023-12-04,,,,,,đia điem kinh doanh so 05 - cong ty tnhh giai tri lang xi trum,"o so 3f-14, tang 03, trung tam thuong mai hung vuong plaza so 126 hong bang",5,12
5090,,YT,h29.24-231124-0133,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty co phan am thuc mat troi vang,le vu minh,"lo 5-09 & 5-10 & 5-11, tang 5, tttm van hanh mall, so 11 đuong su van hanh",12,10,,kinh doanh dich vu an uong,5090,2023-12-04,,,,,,đia điem kinh doanh cong ty co phan am thuc mat troi vang,"lo 5-09 & 5-10 & 5-11, tang 5, tttm van hanh mall, so 11 đuong su van hanh",10,12
5091,,YT,h29.24-231122-0241,2023-11-23,2023-12-22,,đia điem kinh doanh so 6 cong ty tnhh thao ha,truong viet oanh,"lo i1-n1, khu cong nghe cao",tan phu,thu đuc,,kinh doanh dich vu an uong,5091,2023-12-04,,,,,,đia điem kinh doanh so 6 cong ty tnhh thao ha,"lo i1-n1, khu cong nghe cao",thu đuc,tan phu
5092,,NN,h29.24-231126-0020,2023-11-27,2023-12-12,,nha xuong - đia điem kinh doanh cong ty tnhh thuong mai dich vu xuat nhap khau sen thien nien ky,,420/10 la xuan oai,long truong,thu đuc,0311731757-00001,che bien cha chay,5092,2023-12-04,,,,,,nha xuong - đia điem kinh doanh cong ty tnhh thuong mai dich vu xuat nhap khau sen thien nien ky,420/10 la xuan oai,thu đuc,long truong
5093,,CT,h29.24-231122-0185,2023-11-23,2023-12-22,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bhx so 394,pham van trong,mot phan so 40a đuong 147,phuoc long b,thu đuc,,ban le nhom san pham theo danh muc,5093,2023-12-04,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bhx so 394,mot phan so 40a đuong 147,thu đuc,phuoc long b
5094,,YT,h29.24-231110-0169,2023-11-24,2023-12-25,,đia điem kinh doanh cong ty co phan thuong mai dich vu thieu nhi moi,nguyen le chi mai,"gian hang l3-01, tang 3, toa nha vincom plaza le van viet, so 50 đuong le van viet",hiep phu,thu đuc,,kinh doanh dich vu an uong,5094,2023-12-04,,,,,,đia điem kinh doanh cong ty co phan thuong mai dich vu thieu nhi moi,"gian hang l3-01, tang 3, toa nha vincom plaza le van viet, so 50 đuong le van viet",thu đuc,hiep phu
5095,,YT,h29.24-231121-0203,2023-11-23,2023-12-21,,cong ty tnhh tmdv lee cho,song nguyen bao ngoc,"43 my van, đuong so 16",tan phu,7,,kinh doanh dich vu an uong,5095,2023-12-04,,,,,,cong ty tnhh tmdv lee cho,"43 my van, đuong so 16",7,tan phu
5096,,YT,h29.24-231105-0022,2023-11-24,2023-12-22,,chi nhanh cong ty tnhh thuong mai va dich vu du lich canh đong viet,nguyen thi han,"so 1m, đuong so 10, khu pho 1",tan quy,7,,kinh doanh dich vu an uong,5096,2023-12-04,,,,,,chi nhanh cong ty tnhh thuong mai va dich vu du lich canh đong viet,"so 1m, đuong so 10, khu pho 1",7,tan quy
5097,,CT,h29.24-231122-0302,2023-11-24,2023-12-22,,đia điem kinh doanh cong ty co phan king food market,nguyen thi ngoc thuy,29-31-35 đuong tan my,tan phu,7,,ban le nhom san pham theo danh muc,5097,2023-12-04,,,,,,đia điem kinh doanh cong ty co phan king food market,29-31-35 đuong tan my,7,tan phu
5098,,YT,h29.24-231124-0165,2023-11-24,2023-12-25,,cong ty tnhh phat trien dich vu hong phuc,le hong phuoc,46-48 đuong noi khu hung gia 1,tan phong,7,,kinh doanh dich vu an uong,5098,2023-12-04,,,,,,cong ty tnhh phat trien dich vu hong phuc,46-48 đuong noi khu hung gia 1,7,tan phong
5099,,YT,h29.24-231120-0317,2023-11-22,2023-12-21,,cong ty tnhh wakana,le thi dung,15a/31a le thanh ton,ben nghe,1,,kinh doanh dich vu an uong,5099,2023-12-04,,,,,,cong ty tnhh wakana,15a/31a le thanh ton,1,ben nghe
5100,,YT,h29.24-231122-0075,2023-11-24,2023-12-25,,đia điem kinh doanh 9 - cong ty co phan socola marou,"vincent, gerard mourou",89 (truoc) mac thi buoi,ben nghe,1,,kinh doanh dich vu an uong,5100,2023-12-04,,,,,,đia điem kinh doanh 9 - cong ty co phan socola marou,89 (truoc) mac thi buoi,1,ben nghe
5101,,YT,h29.24-231123-0309,2023-11-24,2023-12-22,,đia điem kinh doanh cong ty trach nhiem huu han đau tu thuong mai va dich vu hao hoa - trung tam hoi nghi yen tiec đai hy garden,trinh ngoc tin,"4429a khu pho 4, nguyen cuu phu",tan tao a,binh tan,,kinh doanh dich vu an uong,5101,2023-12-04,,,,,,đia điem kinh doanh cong ty trach nhiem huu han đau tu thuong mai va dich vu hao hoa - trung tam hoi nghi yen tiec đai hy garden,"4429a khu pho 4, nguyen cuu phu",binh tan,tan tao a
5102,,NN,h29.24-231123-0067,2023-11-24,2023-12-12,,ho kinh doanh ly ly,,"34/15/28 đuong lien khu 2-5, khu pho 5",binh tri đong,binh tan,41W8008963,"che bien: tuong ot, tuong xay, sa te",5102,2023-12-04,,,,,,ho kinh doanh ly ly,"34/15/28 đuong lien khu 2-5, khu pho 5",binh tan,binh tri đong
5103,,YT,h29.24-231121-0128,2023-11-22,2023-12-20,,cong ty tnhh rau saigon,bui thi phuong trang,84 yen the,2,tan binh,,kinh doanh dich vu an uong,5103,2023-12-04,,,,,,cong ty tnhh rau saigon,84 yen the,tan binh,2
5104,,CT,h29.24-231121-0058,2023-11-23,2023-12-22,,đia điem kinh doanh winmart+ hcm 73 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,so 136a-138 đuong le minh xuan,7,tan binh,,ban le nhom san pham theo danh muc,5104,2023-12-04,,,,,,đia điem kinh doanh winmart+ hcm 73 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,so 136a-138 đuong le minh xuan,tan binh,7
5105,,CT,h29.24-231121-0075,2023-11-23,2023-12-21,,đia điem kinh doanh winmart+ hcm 75 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,,so 24 le binh,4,tan binh,,ban le nhom san pham theo danh muc,5105,2023-12-04,,,,,,đia điem kinh doanh winmart+ hcm 75 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,so 24 le binh,tan binh,4
5106,,YT,h29.24-231123-0183,2023-11-28,2023-12-26,,nha hang ardeo,ly thi ngoc thiep,"phong 09 tai tang tret, toa nha mplaza saigon, 39 le duan",ben nghe,1,,kinh doanh dich vu an uong,5106,2023-12-04,,,,,,nha hang ardeo,"phong 09 tai tang tret, toa nha mplaza saigon, 39 le duan",1,ben nghe
5107,,"CT, YT",h29.24-231127-0358,2023-11-28,2023-12-26,,đia điem kinh doanh so 260- cong ty tnhh gs 25 vietnam,pham hoang minh,"tang 1 va tang 2, so 240 đuong bui vien",pham ngu lao,1,,kinh doanh dich vu an uong,5107,2023-12-04,,,,,,đia điem kinh doanh so 260- cong ty tnhh gs 25 vietnam,"tang 1 va tang 2, so 240 đuong bui vien",1,pham ngu lao
5108,,YT,h29.24-231128-0096,2023-11-29,2023-12-28,,cong ty trach nhiem huu han thuong mai va dich vu lam cat,le thi kim luyen,"ea2-01-03, tang tret khoi đe block a2, toa nha era town, so 15b nguyen luong bang",phu my,7,,kinh doanh dich vu an uong,5108,2023-12-04,,,,,,cong ty trach nhiem huu han thuong mai va dich vu lam cat,"ea2-01-03, tang tret khoi đe block a2, toa nha era town, so 15b nguyen luong bang",7,phu my
5109,,YT,h29.24-231129-0123,2023-11-29,2023-12-28,,cong ty co phan friends golf holdings vn - chi nhanh parkson paragon,koo bon hyuk,"phong 501, lau 05, toa nha saigon paragon, so 03 nguyen luong bang",tan phu,7,,kinh doanh dich vu an uong,5109,2023-12-04,,,,,,cong ty co phan friends golf holdings vn - chi nhanh parkson paragon,"phong 501, lau 05, toa nha saigon paragon, so 03 nguyen luong bang",7,tan phu
5110,,YT,h29.24-231129-0105,2023-11-29,2023-12-27,,đia điem kinh doanh cong ty tnhh thuong mai dich vu d2a home,nguyen duy anh,"so 101, khu pho my kim 3 (cn4) - phu my hung",tan phong,7,,kinh doanh dich vu an uong,5110,2023-12-04,,,,,,đia điem kinh doanh cong ty tnhh thuong mai dich vu d2a home,"so 101, khu pho my kim 3 (cn4) - phu my hung",7,tan phong
5111,,YT,h29.24-231127-0364,2023-11-28,2023-12-27,,đia điem kinh doanh cong ty tnhh sol entertainment - sol kitchen and pool bar,bui thi thu hien,514b huynh tan phat,binh thuan,7,,kinh doanh dich vu an uong,5111,2023-12-04,,,,,,đia điem kinh doanh cong ty tnhh sol entertainment - sol kitchen and pool bar,514b huynh tan phat,7,binh thuan
5112,,YT,h29.24-231124-0206,2023-11-28,2023-12-26,,cong ty tnhh vedette,ngo duy hau,15b/46 le thanh ton,ben nghe,1,,kinh doanh dich vu an uong,5112,2023-12-05,,,,,,cong ty tnhh vedette,15b/46 le thanh ton,1,ben nghe
5113,,YT,h29.24-231123-0146,2023-11-27,2023-12-25,,cong ty tnhh matsuda,matsuda chika,"tang 1, so 8a/11c1 thai van lung",ben nghe,1,,kinh doanh dich vu an uong,5113,2023-12-05,,,,,,cong ty tnhh matsuda,"tang 1, so 8a/11c1 thai van lung",1,ben nghe
5114,,YT,h29.24-231121-0220,2023-11-27,2023-12-25,,cong ty tnhh thuong mai dich vu imai house,đinh thi hoai phuong,245/10b nguyen trai,nguyen cu trinh,1,,kinh doanh dich vu an uong,5114,2023-12-05,,,,,,cong ty tnhh thuong mai dich vu imai house,245/10b nguyen trai,1,nguyen cu trinh
5115,,YT,h29.24-231123-0316,2023-11-24,2023-12-25,,cong ty co phan apocalypse now saigon,ton that minh,so 2f đuong thi sach,ben nghe,1,,kinh doanh dich vu an uong,5115,2023-12-05,,,,,,cong ty co phan apocalypse now saigon,so 2f đuong thi sach,1,ben nghe
5116,,NN,h29.24-231127-0363,2023-11-28,2023-12-14,,ho kinh doanh hai san cuc khang,,807 tran xuan soan,tan hung,7,41G8045496,"so che, đong goi: thit, thuy san",5116,2023-12-05,,,,,,ho kinh doanh hai san cuc khang,807 tran xuan soan,7,tan hung
5117,,NN,h29.24-231124-0161,2023-11-28,2023-12-13,,đia điem kinh doanh so 1 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai đau tu k.l.e.v.e,,401 hai ba trung,vo thi sau,3,0101628217-00002,kinh doanh trai cay,5117,2023-12-05,,,,,,đia điem kinh doanh so 1 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai đau tu k.l.e.v.e,401 hai ba trung,3,vo thi sau
5118,,"CT, YT",h29.24-231126-0024,2023-11-27,2023-12-25,,đia điem kinh doanh so 251 – cong ty tnhh gs 25 vietnam,pham hoang minh,tang 1 va tang 2 (mot phan) so 217a đuong nguyen van cu,4,5,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5118,2023-12-05,,,,,,đia điem kinh doanh so 251 – cong ty tnhh gs 25 vietnam,tang 1 va tang 2 (mot phan) so 217a đuong nguyen van cu,5,4
5119,,YT,h29.24-231123-0240,2023-11-27,2023-12-25,,đia điem kinh doanh cua hang so 45 - cong ty tnhh banh ngot cj viet nam,kim jae young,481 le van sy,12,3,,kinh doanh dich vu an uong,5119,2023-12-05,,,,,,đia điem kinh doanh cua hang so 45 - cong ty tnhh banh ngot cj viet nam,481 le van sy,3,12
5120,,YT,h29.24-231117-0087,2023-11-22,2023-12-20,,đia điem kinh doanh kfc cach mang thang tam tp ho chi minh - cong ty lien doanh tnhh kfc viet nam,bui the hung,540 cach mang thang tam,11,3,,kinh doanh dich vu an uong,5120,2023-12-05,,,,,,đia điem kinh doanh kfc cach mang thang tam tp ho chi minh - cong ty lien doanh tnhh kfc viet nam,540 cach mang thang tam,3,11
5121,,YT,h29.24-231119-0076,2023-11-24,2023-12-22,,cong ty tnhh dich vu thuong mai đong xuyen,lam thien ngoc,407-409 nguyen chi thanh,12,5,,kinh doanh dich vu an uong,5121,2023-12-05,,,,,,cong ty tnhh dich vu thuong mai đong xuyen,407-409 nguyen chi thanh,5,12
5122,,YT,h29.24-231119-0078,2023-11-24,2023-12-22,,cong ty tnhh central 99,au boi tran,tang 1-6 va tang 9-10 so 411 tran hung đao b,14,5,,kinh doanh dich vu an uong,5122,2023-12-05,,,,,,cong ty tnhh central 99,tang 1-6 va tang 9-10 so 411 tran hung đao b,5,14
5123,,YT,h29.24-231119-0077,2023-11-24,2023-12-22,,đia điem kinh doanh cong ty tnhh thuong mai dich vu viet hung long,le huu phat,69-71 ngo quyen,11,5,,kinh doanh dich vu an uong,5123,2023-12-05,,,,,,đia điem kinh doanh cong ty tnhh thuong mai dich vu viet hung long,69-71 ngo quyen,5,11
5124,,YT,h29.24-231121-0224,2023-11-27,2023-12-25,,đia điem kinh doanh cao đat - cong ty co phan đau tu thuong mai ttv,tran tuyet van,so 180 đuong cao đat,1,5,,kinh doanh dich vu an uong,5124,2023-12-05,,,,,,đia điem kinh doanh cao đat - cong ty co phan đau tu thuong mai ttv,so 180 đuong cao đat,5,1
5125,,"CT, NN, YT",h29.24-231122-0184,2023-11-27,2023-12-25,,cong ty tnhh thiso retail - đia điem kinh doanh e-mart phan huy ich,tran ba duong,385 phan huy ich,14,go vap,,"so che, đong goi: rau, cu, qua, thit; san xuat cac loai banh tu bot; kinh doanh dich vu an uong; ban le nhom san pham theo danh muc",5125,2023-12-05,,,,,,cong ty tnhh thiso retail - đia điem kinh doanh e-mart phan huy ich,385 phan huy ich,go vap,14
5126,,YT,h29.24-231126-0031,2023-11-27,2023-12-25,,cong ty tnhh nha hang the hestia,tran thi tuyet oanh,437 nguyen oanh,17,go vap,,kinh doanh dich vu an uong,5126,2023-12-05,,,,,,cong ty tnhh nha hang the hestia,437 nguyen oanh,go vap,17
5127,,NN,h29.24-231116-0115,2023-11-27,2023-12-13,,chi nhanh cong ty tnhh san xuat kinh doanh thuong mai dich vu tan phuoc,,so 26 tran van hoang,9,tan binh,0317838922-001,che bien gio cha,5127,2023-12-05,,,,,,chi nhanh cong ty tnhh san xuat kinh doanh thuong mai dich vu tan phuoc,so 26 tran van hoang,tan binh,9
5128,,NN,h29.24-231123-0107,2023-11-28,2023-12-14,,cong ty trach nhiem huu han thuc pham vu dallas,,232/109 đoan van bo,10,4,0317899273,"kinh doanh rau, cu, qua, thit, ca",5128,2023-12-05,,,,,,cong ty trach nhiem huu han thuc pham vu dallas,232/109 đoan van bo,4,10
5129,,"CT, YT",h29.24-231126-0023,2023-11-28,2023-12-27,,đia điem kinh doanh so 261 - cong ty tnhh gs 25 vietnam,pham hoang minh,"tang 1, so 194 va 192/1 đuong nguyen thai binh",12,tan binh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5129,2023-12-05,,,,,,đia điem kinh doanh so 261 - cong ty tnhh gs 25 vietnam,"tang 1, so 194 va 192/1 đuong nguyen thai binh",tan binh,12
5130,,YT,h29.24-231009-0124,2023-11-27,2023-12-25,,cua hang mcdonalds hoang dieu - cong ty co phan good day hospitality,nguyen huy thinh,"tang tret, toa nha h3, 384 hoang dieu",6,4,,kinh doanh dich vu an uong,5130,2023-12-05,,,,,,cua hang mcdonalds hoang dieu - cong ty co phan good day hospitality,"tang tret, toa nha h3, 384 hoang dieu",4,6
5131,,"CT, YT",h29.24-231121-0010,2023-11-22,2023-12-20,,đia điem kinh doanh - cong ty tnhh 3nn vietnam,hoang thi ngan,"tang 1 va tang 2 , so 49l đuong phan đang luu",3,binh thanh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5131,2023-12-05,,,,,,đia điem kinh doanh - cong ty tnhh 3nn vietnam,"tang 1 va tang 2 , so 49l đuong phan đang luu",binh thanh,3
5132,,YT,h29.24-231127-0094,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty co phan am thuc nhat phong chau pho,huynh huu thanh phuong,416 phan xich long,2,phu nhuan,,kinh doanh dich vu an uong,5132,2023-12-05,,,,,,đia điem kinh doanh cong ty co phan am thuc nhat phong chau pho,416 phan xich long,phu nhuan,2
5133,,YT,h29.24-231122-0291,2023-11-27,2023-12-25,,cong ty co phan am thuc shakti,phan truong hoang nhi,81 phan xich long,2,phu nhuan,,kinh doanh dich vu an uong,5133,2023-12-05,,,,,,cong ty co phan am thuc shakti,81 phan xich long,phu nhuan,2
5134,,YT,h29.24-231123-0290,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty co phan saigonese,bui nguyen thuan,146-148 ky con,nguyen thai binh,1,,kinh doanh dich vu an uong,5134,2023-12-05,,,,,,đia điem kinh doanh cong ty co phan saigonese,146-148 ky con,1,nguyen thai binh
5135,,YT,h29.24-231124-0329,2023-11-27,2023-12-25,,cong ty tnhh đai cat - nha hang 144,nguyen tien quyet,144 tan son nhi,tan son nhi,tan phu,,kinh doanh dich vu an uong,5135,2023-12-05,,,,,,cong ty tnhh đai cat - nha hang 144,144 tan son nhi,tan phu,tan son nhi
5136,,YT,h29.24-231123-0318,2023-11-27,2023-12-25,,cong ty tnhh 2 ku thien nhien,huynh thi my ngoc,202 bong sao,5,8,,kinh doanh dich vu an uong,5136,2023-12-05,,,,,,cong ty tnhh 2 ku thien nhien,202 bong sao,8,5
5137,,NN,h29.24-231124-0322,2023-11-24,2023-12-12,,cong ty tnhh huy phat foods,,38/52 go dau,tan son nhi,tan phu,0317710062,"che bien: tuong ot, tuong đen",5137,2023-12-05,,,,,,cong ty tnhh huy phat foods,38/52 go dau,tan phu,tan son nhi
5138,,NN,h29.24-231127-0250,2023-11-28,2023-12-14,,đia điem kinh doanh trung tam phan phoi 7ambient - cong ty co phan seven system viet nam,,"nha kho d2, lo d2, khu cong nghiep tan phu trung",tan phu trung,cu chi,0313330856-00079,"kho lanh bao quan thuc pham nong, lam, thuy san",5138,2023-12-05,,,,,,đia điem kinh doanh trung tam phan phoi 7ambient - cong ty co phan seven system viet nam,"nha kho d2, lo d2, khu cong nghiep tan phu trung",cu chi,tan phu trung
5139,,YT,h29.24-231124-0223,2023-11-27,2023-12-25,,ho kinh doanh le tai,le van tai,"158 tmt13, to 44, khu pho 4",trung my tay,12,,san xuat nuoc đa vien dung lien,5139,2023-12-05,,,,,,ho kinh doanh le tai,"158 tmt13, to 44, khu pho 4",12,trung my tay
5140,,YT,h29.24-231127-0122,2023-11-28,2023-12-26,,cong ty co phan tap đoan golden gate – chi nhanh mien nam - đia điem kinh doanh - nha hang gogi house,ha thuc tu,so 10b/a đuong nguyen anh thu,trung my tay,12,,kinh doanh dich vu an uong,5140,2023-12-05,,,,,,cong ty co phan tap đoan golden gate – chi nhanh mien nam - đia điem kinh doanh - nha hang gogi house,so 10b/a đuong nguyen anh thu,12,trung my tay
5141,,"CT, YT",h29.24-231122-0186,2023-11-27,2023-12-25,,đia điem kinh doanh cong ty tnhh cua hang tien loi gia đinh viet nam- cua hang familymart đang thuc vinh,kirimura akira,"11a ap 7, đang thuc vinh",đong thanh,hoc mon,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,5141,2023-12-05,,,,,,đia điem kinh doanh cong ty tnhh cua hang tien loi gia đinh viet nam- cua hang familymart đang thuc vinh,"11a ap 7, đang thuc vinh",hoc mon,đong thanh
5142,,CT,h29.24-231121-0151,2023-11-23,2023-12-22,,đia điem kinh doanh winmart+ hcm 511 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,49 đong thanh 3-4,đong thanh,hoc mon,,ban le nhom san pham theo danh muc,5142,2023-12-05,,,,,,đia điem kinh doanh winmart+ hcm 511 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,49 đong thanh 3-4,hoc mon,đong thanh
5143,,CT,h29.24-231127-0304,2023-11-28,2023-12-27,,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 845 ha huy giap,pham van trong,845 ha huy giap,thanh xuan,12,,ban le nhom san pham theo danh muc,5143,2023-12-05,,,,,,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 845 ha huy giap,845 ha huy giap,12,thanh xuan
5144,,CT,h29.24-231124-0246,2023-11-28,2023-12-26,,chi nhanh cong ty co phan thuong mai bach hoa xanh- cua hang bach hoa xanh 22i hiep thanh 13,pham van trong,"22i-22i/2 hiep thanh 13, khu pho 3",hiep thanh,12,,ban le nhom san pham theo danh muc,5144,2023-12-05,,,,,,chi nhanh cong ty co phan thuong mai bach hoa xanh- cua hang bach hoa xanh 22i hiep thanh 13,"22i-22i/2 hiep thanh 13, khu pho 3",12,hiep thanh
5145,,CT,h29.24-231124-0283,2023-11-28,2023-12-27,,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 161 binh my,pham van trong,"161 binh my, ap 7",binh my,cu chi,,ban le nhom san pham theo danh muc,5145,2023-12-05,,,,,,chi nhanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh 161 binh my,"161 binh my, ap 7",cu chi,binh my
5146,,CT,h29.24-231127-0318,2023-11-28,2023-12-27,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 336,pham van trong,28-30 đuong tmt 13,trung my tay,12,,ban le nhom san pham theo danh muc,5146,2023-12-05,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 336,28-30 đuong tmt 13,12,trung my tay
5147,,YT,h29.24-231121-0063,2023-11-28,2023-12-26,,chi nhanh quan 3 - cong ty co phan d1 concepts,nguyen xuan vinh,2a va 2c cao thang,5,3,,kinh doanh dich vu an uong,5147,2023-12-06,,,,,,chi nhanh quan 3 - cong ty co phan d1 concepts,2a va 2c cao thang,3,5
5148,,YT,h29.24-231129-0128,2023-11-29,2023-12-28,,đia điem kinh doanh hotpot - cong ty tnhh baoz group,vu đuc hien,90-92 nguyen tri phuong,7,5,,kinh doanh dich vu an uong,5148,2023-12-06,,,,,,đia điem kinh doanh hotpot - cong ty tnhh baoz group,90-92 nguyen tri phuong,5,7
5149,,NN,h29.24-231124-0216,2023-11-28,2023-12-13,,đia điem kinh doanh – cong ty tnhh hot food,,b11/10n ap 2a,vinh loc b,binh chanh,0313370633-00009,"cat, đong goi thit đong lanh",5149,2023-12-06,,,,,,đia điem kinh doanh – cong ty tnhh hot food,b11/10n ap 2a,binh chanh,vinh loc b
5150,,YT,h29.24-231123-0156,2023-11-27,2023-12-25,,cua hang kfc central plaza,bui the hung,c6/27 đuong pham hung,binh hung,binh chanh,,kinh doanh dich vu an uong,5150,2023-12-06,,,,,,cua hang kfc central plaza,c6/27 đuong pham hung,binh chanh,binh hung
5151,,YT,h29.24-231120-0112,2023-11-28,2023-12-26,,ho kinh doanh vo minh thu,lai thi kim hoa,a10/312 ap 1,phong phu,binh chanh,,san xuat nuoc uong đong binh,5151,2023-12-06,,,,,,ho kinh doanh vo minh thu,a10/312 ap 1,binh chanh,phong phu
5152,,YT,h29.24-231127-0127,2023-11-27,2023-12-25,,domino’s pizza đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,vo thi phi phuong,d1/10d nguyen thi tu,vinh loc b,binh chanh,,kinh doanh dich vu an uong,5152,2023-12-06,,,,,,domino’s pizza đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,d1/10d nguyen thi tu,binh chanh,vinh loc b
5153,,YT,h29.24-231124-0330,2023-11-28,2023-12-26,,đia điem kinh doanh 68 - cong ty co phan thien đuong am thuc viet nam,phan cong thanh,"tang 1, 1f-06b lotte mart go vap, so 18 phan van tri",10,go vap,,kinh doanh dich vu an uong,5153,2023-12-06,,,,,,đia điem kinh doanh 68 - cong ty co phan thien đuong am thuc viet nam,"tang 1, 1f-06b lotte mart go vap, so 18 phan van tri",go vap,10
5154,,NN,h29.24-231129-0063,2023-11-29,2023-12-15,,cong ty tnhh ca phe tran huu trang,,so 496/63/52c duong quang ham,6,go vap,0311054488,"rang xay, đong goi ca phe",5154,2023-12-06,,,,,,cong ty tnhh ca phe tran huu trang,so 496/63/52c duong quang ham,go vap,6
