stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,tpphuongxathi_xathi_tran,quan_huyen,so_gcn_đkkd,loai_hinh_kinh_doanh,so_gcn_cap_moi_nhat,ngay_cap_moi_nhat,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap,chuyen_vien_thu_ly,tinh_thanh
4800,,YT,,2023-11-03,2023-12-04,,CÔNG TY TNHH BAMBAM VIỆT NAM,NG CHEE WAH,"Tầng trệt, 41-43 Nam Kỳ Khởi Nghĩa",Nguyễn Thái Bình,1,,Kinh doanh dịch vụ ăn uống,4800,2023-11-14,,,,,,Ho Chi Minh
4801,,YT,,2023-11-02,2023-12-01,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH THỰC PHẨM & NƯỚC GIẢI KHÁT Ý TƯỞNG VIỆT - CỬA HÀNG HÀN THUYÊN,CARMEN PATRICIA MARQUES GIANOLI,11-13 Hàn Thuyên,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,4801,2023-11-14,,,,,,Ho Chi Minh
4802,,YT,,2023-11-03,2023-12-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SEVEN SYSTEM VIỆT NAM,VŨ THANH TÚ,"Phòng C2 - Tầng trệt, Tòa nhà Melinh Point, Tọa lạc tại số 02 Ngô Đức Kế",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,4802,2023-11-14,,,,,,Ho Chi Minh
4803,,YT,,2023-11-07,2023-12-05,,NHÀ HÀNG SHAMOJI - GENSHI YAKI - MYLIFE,YÊN MAI LINH,59 Xuân Thủy,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,4803,2023-11-14,,,,,,Ho Chi Minh
4804,,"CT, YT",,2023-11-07,2023-12-05,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM - CỬA HÀNG FAMILYMART 48 QUỐC HƯƠNG,KIRIMURA AKIRA,48 Quốc Hương,Thảo Điền,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4804,2023-11-14,,,,,,Ho Chi Minh
4805,,"CT, YT",,2023-11-07,2023-12-05,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 335 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,"240 Hoàng Diệu 2, Khu phố 5",Linh Chiểu,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4805,2023-11-14,,,,,,Ho Chi Minh
4806,,NN,,2023-11-06,2023-11-21,,HỘ KINH DOANH KIM ĐIỆP,,11/3 Ấp Trung chánh 2,Trung Chánh,Hóc Môn,,"Chế biến: giò lụa, thịt viên, da bao, nem, chả chiên, lạp xưởng",4806,2023-11-14,,,,,,Ho Chi Minh
4807,,YT,,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG TRANG TRÍ NỘI THẤT NHÀ MỚI,PHẠM CÔNG,"140 Vườn Lài, Khu phố 2",An Phú Đông,12,,Kinh doanh dịch vụ ăn uống,4807,2023-11-14,,,,,,Ho Chi Minh
4808,,NN,,2023-11-06,2023-11-21,,HỘ KINH DOANH THỰC PHẨM ĐÔNG LẠNH PHÁT LỢI 1939,,"68/15/7 Chiến Lược, khu phố 13",Bình Trị Đông,Bình Tân,,"Chế biến: patê, jambon, thịt chà bông",4808,2023-11-14,,,,,,Ho Chi Minh
4809,,CT,,2023-11-03,2023-12-04,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH 456 LÊ VĂN QUỚI,PHẠM VĂN TRỌNG,"454-456-458-460 Lê Văn Quới, Khu phố 23",Bình Hưng Hòa A, Bình Tân,,Bán lẻ nhóm sản phẩm theo danh mục,4809,2023-11-14,,,,,,Ho Chi Minh
4810,,CT,,2023-11-03,2023-12-04,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH TỈNH LỘ 10,PHẠM VĂN TRỌNG,473/4A Tỉnh Lộ 10,Bình Trị Đông B,Bình Tân,,Bán lẻ nhóm sản phẩm theo danh mục,4810,2023-11-14,,,,,,Ho Chi Minh
4811,,NN,,2023-11-06,2023-11-21,,CÔNG TY TNHH TIKHIFOOD,,28/6A Phan Văn Trị,12,Bình Thạnh,318125032.0,"Kinh doanh thịt, thủy sản đông lạnh",4811,2023-11-14,,,,,,Ho Chi Minh
4812,,NN,,2023-11-06,2023-11-21,,CÔNG TY TNHH THỰC PHẨM NHANH,,204/16/5 Quốc Lộ 13,26,Bình Thạnh,311941289.0,"Kinh doanh: thịt, thủy hải sản, rau, củ quả",4812,2023-11-14,,,,,,Ho Chi Minh
4813,,YT,,2023-11-06,2023-12-04,,CHI NHÁNH CÔNG TY CỔ PHẦN NGỌC LỄ F&B,BÙI ĐĂNG BẢO,"L3-SH.02, Tòa nhà Landmark 3 Vinhomes Central Park Số 720A Điện Biên Phủ",22,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,4813,2023-11-14,,,,,,Ho Chi Minh
4814,,YT,,2023-11-08,2023-12-07,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CÔNG NGHỆ VIỆT THÀNH CÔNG,TRẦN ĐỨC NGỰ,"Căn số 1.15, tầng 1 (trệt), tháp B, tòa nhà The Galleria Residence",Thủ Thiêm,Thủ Đức,,Kinh doanh dịch vụ ăn uống ,4814,2023-11-15,,,,,,Ho Chi Minh
4815,,YT,,2023-11-08,2023-12-07,,CÔNG TY TNHH LEKKER,BLAZE MATTHEW CAWOOD,520B Đường Đặng Tiến Đông,An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống ,4815,2023-11-15,,,,,,Ho Chi Minh
4816,,YT,,2023-11-08,2023-12-07,,ĐỊA ĐIỂM KINH DOANH 2 -  CÔNG TY TNHH SUNHAN CORP. ,LEE SUMIN,106 xuân thủy,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống ,4816,2023-11-15,,,,,,Ho Chi Minh
4817,,"CT, YT",,2023-11-09,2023-12-07,,ĐỊA ĐIỂM KINH DOANH- CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM - CỬA HÀNG FAMILYMART 2 PHAN VĂN ĐÁNG,KIRIMURA AKIRA,"RP-04 tại Tầng 1, Khu Thương mại Faifo Lane, Số 2 Phan Văn Đáng",Thạnh Mỹ Lợi,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4817,2023-11-15,,,,,,Ho Chi Minh
4818,,YT,,2023-11-03,2023-12-01,,ĐỊA ĐIỂM KINH DOANH BÁNH MÌ BẢY HỔ 2- CÔNG TY TNHH DỊCH VỤ BẢY HỔ,HỒ QUỐC DŨNG,"Tầng 2, 19 Huỳnh Khương Ninh",Đa Kao,1,,Kinh doanh dịch vụ ăn uống ,4818,2023-11-15,,,,,,Ho Chi Minh
4819,,YT,,2023-11-03,2023-12-04,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHAMELEON,HUỲNH NGỌC NHI,100/25 Trần Hưng Đạo,Phạm Ngũ Lão,1,,Kinh doanh dịch vụ ăn uống ,4819,2023-11-15,,,,,,Ho Chi Minh
4820,,YT,,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH ỐC KAI QUÁN- CHI NHÁNH 1 CÔNG TY TNHH CAJUN CUA,HOÀNG OANH THÚY,33 Cống Quỳnh,Nguyễn Cư Trinh,1,,Kinh doanh dịch vụ ăn uống ,4820,2023-11-15,,,,,,Ho Chi Minh
4821,,YT,,2023-11-07,2023-12-05,,CÔNG TY TNHH ĐẬU HOMEMADE - CHI NHÁNH 1NVT,HOÀNG HƯƠNG GIANG,Số 1 Nguyễn Văn Tráng,Bến Thành,1,,Kinh doanh dịch vụ ăn uống ,4821,2023-11-15,,,,,,Ho Chi Minh
4822,,YT,,2023-11-07,2023-12-05,,CÔNG TY TNHH ROKA FELLA VIỆT NAM,ĐẶNG GIA HUY,Số 44-46 Đường Nguyễn An Ninh,Bến Thành,1,,Kinh doanh dịch vụ ăn uống ,4822,2023-11-15,,,,,,Ho Chi Minh
4823,,YT,,2023-11-07,2023-12-05,,GÀ RÁN POPEYES ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,VÕ THỊ PHI PHƯƠNG,2A đường Điện Biên Phủ,Đa Kao,1,,Kinh doanh dịch vụ ăn uống ,4823,2023-11-15,,,,,,Ho Chi Minh
4824,,YT,,2023-10-31,2023-11-29,,ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY MỘT THÀNH VIÊN NGÔI SAO CINEPLEX BHD VIỆT NAM,HUỲNH NGỌC SƠN,C6/27 Phạm Hùng,Bình Hưng,Bình Chánh,,Kinh doanh dịch vụ ăn uống ,4824,2023-11-15,,,,,,Ho Chi Minh
4825,,YT,,2023-11-03,2023-12-04,,ĐỊA ĐIỂM KINH DOANH 142 - CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,LÊ THÁI ANH,"195-197 Đường số 9A, Khu dân cư Trung Sơn, Ấp 4B",Bình Hưng,Bình Chánh,,Kinh doanh dịch vụ ăn uống ,4825,2023-11-15,,,,,,Ho Chi Minh
4826,,"CT, YT",,2023-11-02,2023-12-01,,CỬA HÀNG SỐ 2 - CÔNG TY TNHH GS 25 VIETNAM,PHẠM HOÀNG MINH,"Gian hàng số 1.06, Tầng 1 - Tháp A, Viettel Building, Số 285 Đường Cách Mạng Tháng Tám",12,10,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4826,2023-11-15,,,,,,Ho Chi Minh
4827,,YT,,2023-11-02,2023-12-01,,ĐỊA ĐIỂM KINH DOANH 27 CÔNG TY CỒ PHẦN PIZZA NGON - NHÀ HÀNG THE PIZZA COMPANY,LÊ ĐÌNH HỘI,"Vị trí L6-06 Tầng 6,  TTTM Sư Vạn Hạnh, 11 Sư Vạn Hạnh",12,10,,Kinh doanh dịch vụ ăn uống ,4827,2023-11-15,,,,,,Ho Chi Minh
4828,,YT,,2023-11-02,2023-12-01,,CHI NHÁNH D10 - CÔNG TY CỔ PHẦN ZING PILATES,VŨ NGỌC ĐỖ QUYÊN,419 Ngô Gia Tự,2,10,,Kinh doanh dịch vụ ăn uống ,4828,2023-11-15,,,,,,Ho Chi Minh
4829,,YT,,2023-11-03,2023-12-04,,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN NGÔI SAO CINEPLEX BHD VIỆT NAM,HUỲNH NGỌC SƠN,Số 3C Đường 3/2,11,10,,Kinh doanh dịch vụ ăn uống ,4829,2023-11-15,,,,,,Ho Chi Minh
4830,,CT,,2023-11-01,2023-11-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG SỐ 7,PHẠM VĂN TRỌNG,84 Bình Giã,13,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục,4830,2023-11-15,,,,,,Ho Chi Minh
4831,,CT,,2023-11-07,2023-12-05,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BHX SỐ 384,PHẠM VĂN TRỌNG,Một phần số 44-46 và toàn bộ số 46A Đường Hoàng Bật Đạt,15,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục,4831,2023-11-15,,,,,,Ho Chi Minh
4832,,CT,,2023-11-08,2023-12-07,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH 171 VÕ THÀNH TRANG,PHẠM VĂN TRỌNG,171-173 Võ Thành Trang,11,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục,4832,2023-11-15,,,,,,Ho Chi Minh
4833,,"CT, YT",,2023-11-06,2023-12-04,,CỬA HÀNG SỐ 88 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,180 Nguyễn Hồng Đào,14,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4833,2023-11-15,,,,,,Ho Chi Minh
4834,,"CT, YT",,2023-11-07,2023-12-05,,CỬA HÀNG SỐ 86 - CÔNG TY TNHH GS 25 VIETNAM,PHẠM HOÀNG MINH,"Số 296 (lầu 1), Số 296/1 (tầng 1), Số 296/2 (tầng 1 + lửng gỗ), Đường Nguyễn Tất Thành",13,4,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4834,2023-11-15,,,,,,Ho Chi Minh
4835,,YT,,2023-11-06,2023-12-04,,CÔNG TY TNHH THƯƠNG MẠI OZZY,ĐÀO BẰNG TRÌNH,45 Nguyễn Trường Tộ,13,4,,Kinh doanh dịch vụ ăn uống ,4835,2023-11-15,,,,,,Ho Chi Minh
4836,,YT,,2023-11-03,2023-12-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TRÀ CÀ PHÊ VN – THE COFFEE HOUSE – CỬA HÀNG SỐ 75,NGÔ NGUYÊN KHA,4-6 Ấp Bắc,13,Tân Bình,,Kinh doanh dịch vụ ăn uống ,4836,2023-11-15,,,,,,Ho Chi Minh
4837,,YT,,2023-11-03,2023-12-01,,ĐỊA ĐIỂM KINH DOANH 236 - CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,LÊ THÁI ANH,"Vị trí G-01A, Tầng 1 Chung cư Vĩnh Hội, Số 98 Khánh Hội",4,4,,Kinh doanh dịch vụ ăn uống ,4837,2023-11-15,,,,,,Ho Chi Minh
4838,,YT,,2023-11-07,2023-12-05,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIANG & TRUST- CHI NHÁNH 168KH,HOÀNG HƯƠNG GIANG,168 Khánh Hội,6,4,,Kinh doanh dịch vụ ăn uống ,4838,2023-11-15,,,,,,Ho Chi Minh
4839,,NN,,2023-11-07,2023-11-22,,HỘ KINH DOANH NGUYỄN LÊ DIỄM TRAI,,783/26 đường Cách Mạng Tháng Tám,6,Tân Bình,,Chế biến giò chả,4839,2023-11-15,,,,,,Ho Chi Minh
4840,,NN,,2023-11-07,2023-11-22,,HỘ KINH DOANH HÀ TUYẾT,,254/66/32A đường Âu Cơ,9,Tân Bình,,Sơ chế ruột heo,4840,2023-11-15,,,,,,Ho Chi Minh
4841,,YT,,2023-11-09,2023-12-08,,ĐỊA ĐIỂM KINH DOANH CÀ PHÊ CẦU ĐẤT NGUYỄN THỊ MINH KHAI - CÔNG TY CỔ PHẦN TRẢI NGHIỆM TOÀN CẦU,NGUYỄN THẢO QUÂN,"CH04, 2Bis Nguyễn Thị Minh Khai",Đa Kao,1,,Kinh doanh dịch vụ ăn uống ,4841,2023-11-16,,,,,,Ho Chi Minh
4842,,YT,,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH 231 - CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,LÊ THÁI ANH,"Gian hàng 125, tầng trệt, Trung tâm Thương mại Nowzone, số 235 Nguyễn Văn Cừ",Nguyễn Cư Trinh,1,,Kinh doanh dịch vụ ăn uống ,4842,2023-11-16,,,,,,Ho Chi Minh
4843,,"CT, NN, YT",,2023-11-06,2023-12-04,,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP CỐNG QUỲNH,LÊ TRƯỜNG SƠN,189C Cống Quỳnh,Nguyễn Cư Trinh,1,,"Sơ chế, đóng gói: rau, củ, quả, thịt, thủy sản; Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống",4843,2023-11-16,,,,,,Ho Chi Minh
4844,,"CT, YT",,2023-11-08,2023-12-07,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SEVEN SYSTEM VIỆT NAM,VŨ THANH TÚ,420 Nguyễn Thị Minh Khai,5,3,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4844,2023-11-16,,,,,,Ho Chi Minh
4845,,YT,,2023-11-08,2023-12-07,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TRUYỀN THÔNG KHANG VIỆT - CHẢ CÁ ĐẾ VƯƠNG KỲ ĐỒNG,NGUYỄN TUẤN VIỆT,16 Kỳ Đồng,9,3,,Kinh doanh dịch vụ ăn uống ,4845,2023-11-16,,,,,,Ho Chi Minh
4846,,"CT, YT",,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 203 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,92 Hậu Giang,6,6,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4846,2023-11-16,,,,,,Ho Chi Minh
4847,,NN,,2023-11-09,2023-11-27,,HỘ KINH DOANH THANH BÌNH,,51/10 Quang Trung,10,Gò Vấp,,"Chế biến: chao, tương hột, tương ớt, tương phở",4847,2023-11-16,,,,,,Ho Chi Minh
4848,,YT,,2023-11-06,2023-12-04,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG PHƯƠNG NAM,CAO VĂN PHÁT,300 Điện Biên Phủ,17,Bình Thạnh,,Kinh doanh dịch vụ ăn uống ,4848,2023-11-16,,,,,,Ho Chi Minh
4849,,YT,,2023-11-07,2023-12-05,,ĐỊA ĐIỂM KINH DOANH TOMIDA - CÔNG TY TNHH LỬA NHẬT,ĐỒNG THỊ THÙY TRANG,68 Phạm Viết Chánh,19,Bình Thạnh,,Kinh doanh dịch vụ ăn uống ,4849,2023-11-16,,,,,,Ho Chi Minh
4850,,YT,,2023-11-07,2023-12-05,,NHÀ HÀNG M.A,VŨ TUẤN AN,32/63 Cao Thắng,5,3,,Kinh doanh dịch vụ ăn uống ,4850,2023-11-16,,,,,,Ho Chi Minh
4851,,YT,,2023-11-09,2023-12-08,,CÔNG TY CỔ PHẦN ĐẦU TƯ BLUEJADE - CHI NHÁNH NHÀ HÀNG LẨU BÒ CƯ XÁ HỒ BIỂU CHÁNH,VÕ ĐÌNH VINH,3A Hồ Biểu Chánh,11,Phú Nhuận,,Kinh doanh dịch vụ ăn uống ,4851,2023-11-16,,,,,,Ho Chi Minh
4852,,YT,,2023-11-07,2023-12-05,,CÔNG TY TNHH NOMIKAI IZAKAYA,NGUYỄN THỊ PHƯƠNG DUNG,Số 106 Nguyễn Công Trứ,19,Bình Thạnh,,Kinh doanh dịch vụ ăn uống ,4852,2023-11-16,,,,,,Ho Chi Minh
4853,,"CT, YT",,2023-11-08,2023-12-07,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM - CỬA HÀNG FAMILYMART 190 D2,KIRIMURA AKIRA,190 Đường Nguyễn Gia Trí,25,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4853,2023-11-16,,,,,,Ho Chi Minh
4854,,YT,,2023-11-07,2023-12-05,,ĐỊA ĐIỂM KINH DOANH SỐ 1 DAK GANG JEONG - CÔNG TY TNHH INOTRAD,LIM HYEYOUNG,367 Đinh Bộ Lĩnh,26,Bình Thạnh,,Kinh doanh dịch vụ ăn uống ,4854,2023-11-16,,,,,,Ho Chi Minh
4855,,CT,,2023-11-10,2023-12-11,,ĐỊA ĐIỂM KINH DOANH WINMART+ HCM 632 - CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,PHẠM THỊ THU HƯƠNG,419 Bình Thành,Bình Hưng Hòa B,Bình Tân,,Bán lẻ nhóm sản phẩm theo danh mục,4855,2023-11-16,,,,,,Ho Chi Minh
4856,,NN,,2023-11-10,2023-11-28,,CÔNG TY TNHH JANGWON,,235a Phạm Hữu Lầu,Phú Mỹ,7,,"Chế biến: nước xốt, chả cá chiên, kim chi",4856,2023-11-16,,,,,,Ho Chi Minh
4857,,YT,,2023-11-08,2023-12-07,,ĐỊA ĐIỂM KINH DOANH CỦA CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI HÀNG GIA DỤNG TỔNG HỢP - CỬA HÀNG KUBO LOTTE PHÚ THỌ,NGUYỄN QUỐC HUY,"Tầng 4, 4F-04, TTTM Lotte Mart Phú Thọ, Số 968 Đường 3/2",15,11,,Kinh doanh dịch vụ ăn uống ,4857,2023-11-16,,,,,,Ho Chi Minh
4858,,"CT, NN, YT",,2023-11-07,2023-12-05,,ĐỊA ĐIỂM KINH DOANH FINELIFE SUPERMARKET URBAN HILL – CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,NGÔ TRIỀU DƯƠNG,"Tầng 1, tầng 2 thuộc dự án khu dân cư đa hợp lô H6-3, khu A-Đô thị mới Nam Thành phố, số 51A đường Nguyễn Văn Linh",Tân Phong,7,,"Kinh doanh dịch vụ ăn uống; Bán lẻ nhóm sản phẩm theo danh mục; Sơ chế, đóng gói: rau, củ, quả",4858,2023-11-16,,,,,,Ho Chi Minh
4859,,YT,,2023-11-07,2023-12-05,,CHI NHÁNH - 2 CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ AN VIỆT NAM,VÕ PHẠM ÁI CHÂU,"Số 75 đường Phố Tiểu Nam, Khu phố Mỹ Gia - S12",Tân Phú,7,,Kinh doanh dịch vụ ăn uống ,4859,2023-11-16,,,,,,Ho Chi Minh
4860,,NN,,2023-11-08,2023-11-24,,ĐỊA ĐIỂM KINH DOANH KHO HÀNG - CÔNG TY TNHH XUẤT NHẬP KHẨU KINGFISH,,"Số 6 Đường D6, Tổ 1, Khu phố 6",Phước Long B,Thủ Đức,,"Sơ chế, đóng gói thủy sản",4860,2023-11-16,,,,,,Ho Chi Minh
4861,,YT,,2023-11-13,2023-12-12,,ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN NGÔI SAO CINEPLEX BHD VIỆT NAM,HUỲNH NGỌC SƠN,50 Lê Văn Việt,Hiệp Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,4861,2023-11-16,,,,,,Ho Chi Minh
4862,,YT,,2023-11-13,2023-12-12,,CÔNG TY TNHH SỰ KIỆN TIỆC CƯỚI LÊ THANH,NGUYỄN TUẤN ANH,361 Nguyễn Văn Tăng,Long Thạnh Mỹ,Thủ Đức,,Kinh doanh dịch vụ ăn uống,4862,2023-11-16,,,,,,Ho Chi Minh
4863,,YT,,2023-11-06,2023-12-04,,BURGER KING ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,VÕ THỊ PHI PHƯƠNG,539 Nguyễn Tri Phương,8,10,,Kinh doanh dịch vụ ăn uống,4863,2023-11-16,,,,,,Ho Chi Minh
4864,,YT,,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH SX TM DV CƠM TÂM GHIỀN,GIANG THỊ HỒNG SƯƠNG,215 Đường 3/2,10,10,,Kinh doanh dịch vụ ăn uống,4864,2023-11-16,,,,,,Ho Chi Minh
4865,,"CT, YT",,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH SỐ 2 - CÔNG TY TNHH HAI THÀNH VIÊN BÁN LẺ KÌ LÂN,VŨ HOÀNG NAM,"Tầng 1 (một phần), Số 447 Tô Hiến Thành",14,10,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4865,2023-11-16,,,,,,Ho Chi Minh
4866,,"CT, YT",,2023-11-06,2023-12-04,,ĐỊA ĐIỂM KINH DOANH SỐ 3 - CÔNG TY TNHH HAI THÀNH VIÊN BÁN LẺ KÌ LÂN,VŨ HOÀNG NAM,"Tầng Trệt và Tầng 1, Số 01 Hoàng Dư Khương",12,10,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,4866,2023-11-16,,,,,,Ho Chi Minh
4867,,YT,,2023-11-03,2023-12-01,,ĐỊA ĐIỂM KINH DOANH 144 - CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,LÊ THÁI ANH,Số 402-404 trần Hưng Đạo,11,5,,Kinh doanh dịch vụ ăn uống,4867,2023-11-16,,,,,,Ho Chi Minh
4868,,YT,,2023-11-09,2023-12-08,,CÔNG TY TNHH DỊCH VỤ KARAOKE NICE 7,TRẦN THỊ THÚY,"Số D8/17, Đường Trần Văn Giàu, Ấp 4",Bình Lợi,Bình Chánh,,Kinh doanh dịch vụ ăn uống,4868,2023-11-16,,,,,,Ho Chi Minh
4869,,NN,,2023-11-07,2023-11-22,,CHI NHÁNH CÔNG TY TNHH VỊ NGUYÊN,,"7A/127 Đường An Hạ, ấp 7",Phạm Văn Hai,Bình Chánh,,"Chế biến: đậu hũ các loại, natto, sữa đậu nành",4869,2023-11-16,,,,,,Ho Chi Minh
4870,,NN,,2023-11-09,2023-11-27,,HỘ KINH DOANH TÉP SẤY CÔNG HIẾU,,75B2/3 Ấp 2,An Phú Tây,Bình Chánh,,"Sấy, đóng gói tép khô",4870,2023-11-16,,,,,,Ho Chi Minh
4871,,YT,,2023-11-09,2023-12-08,,ĐỊA ĐIỂM KINH DOANH SỐ 2 - CHI NHÁNH CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG NGỌC TÚ TẠI THÀNH PHỐ HỒ CHÍ MINH,TRẦN QUANG HỢP,"Lô số T19, tầng Ba, TTTM Aeon Mall Bình Tân, số 1 đường 17A, Khu phố 11",Bình Trị Đông B,Bình Tân,,Kinh doanh dịch vụ ăn uống ,4871,2023-11-17,,,,,,Ho Chi Minh
4872,,CT,,2023-11-09,2023-12-08,,ĐỊA ĐIỂM KINH DOANH SỐ 049 - CÔNG TY CỔ PHẦN KING FOOD MARKET,NGUYỄN THỊ NGỌC THÚY,99-101 Đường số 7,Bình Trị Đông B,Bình Tân,,Bán lẻ nhóm sản phẩm theo danh mục,4872,2023-11-17,,,,,,Ho Chi Minh
4873,,YT,,2023-11-06,2023-12-04,,NHÀ HÀNG PIZZA HUT - SKY GARDEN,LIN KENG CHOR,"Số 1014 đường Nguyễn Văn Linh, chung cư Sky Garden 1-R1-1, khu phố 3",Tân Phong,7,,Kinh doanh dịch vụ ăn uống ,4873,2023-11-17,,,,,,Ho Chi Minh
4874,,YT,,2023-11-08,2023-12-07,,HỘ KINH DOANH PHÚ THANH XUÂN,NGUYỄN BÌNH MINH PHÚ,"1/30 hẻm 1, đường Phạm Hùng, ấp 4A",Bình Hưng,Bình Chánh,,Sản xuất nước uống đóng binh,4874,2023-11-17,,,,,,Ho Chi Minh
